યોગગુરૂ સ્વામી અધ્યાત્માનંદજી પરમધામ સીધાવ્યા તે જાણી દુ:ખ થયું. આધ્યાત્મિકતા જેવા ગહન વિષયને તેઓએ સરળ શૈલીમાં સમજા… https://t.co/l9egYE1aaz
Spoke with my friend @ScottMorrisonMP to thank him for Australia’s solidarity and support for India’s fight against… https://t.co/13ONkqaj1W
I would like to congratulate Shri N.Rangasamy Ji on taking oath as Puducherry CM. Best wishes for the tenure ahead.
Congratulations to Thiru @mkstalin on being sworn-in as Tamil Nadu Chief Minister.
वरिष्ठ पत्रकार शेष नारायण सिंह जी का निधन अत्यंत दुखद है। पत्रकारिता जगत में अपने महत्वपूर्ण योगदान के लिए वे हमेशा… https://t.co/6oNobyNrco
"'Jal', 'Thal' and 'Nabh'...our armed forces have left no stone unturned in strengthening the fight against COVID-19. https://t.co/JOcRRrhJgR"
"RT @rajnathsingh: Fighting the Invisible Enemy: MoD’s Response on COVID-19 Surge

​Sensing the emergency situation, the whole Government ma…"
ગુજરાતના પૂર્વ નાણામંત્રી શ્રી પ્રતાપભાઈ શાહના અવસાનના સમાચારથી વ્યથિત છું. ગુજરાતના જાહેર જીવન અને પત્રકારત્વ ક્ષે… https://t.co/jS8a05psbQ
"Reviewed various aspects of the COVID-19 response in the states and districts, including the ongoing vaccination dr… https://t.co/Efi1NOKUFp"
पूर्व केंद्रीय मंत्री चौधरी अजित सिंह जी के निधन से अत्यंत दुख हुआ है। वे हमेशा किसानों के हित में समर्पित रहे। उ… https://t.co/XcGc6vPDTE
उत्तर प्रदेश भाजपा के सह-संगठन महामंत्री भवानी सिंह जी के निधन से अत्यंत दुख हुआ है। उन्होंने राज्य में भाजपा को मज… https://t.co/cVMghqpQ7K
"Good to see our healthcare workers and nurses set an example in reducing vaccine wastage. 

Reducing vaccine wastag… https://t.co/9EODZ1c2Wa"
Congratulations to Mamata Didi on taking oath as West Bengal’s Chief Minister. @MamataOfficial
മലങ്കര മാർത്തോമ്മാ സിറിയൻ സഭയിലെ അംഗങ്ങളെ  അനുശോചനം അറിയിക്കുന്നു.
മാർത്തോമ്മാ സഭ മുൻ അധ്യക്ഷൻ റവ. ഡോ. ഫിലിപ്പോസ് മാർ ക്രിസോസ്റ്റം വലിയ മെത്രാപ്പൊലീത്തയുടെ നിര്യാണത്തിൽ ദുഖിക്കുന്നു.… https://t.co/1CDUaTlUy4
Saddened by the demise of His Grace The Most Rev. Dr. Philipose Mar Chrysostom Mar Thoma Valiya Metropolitan. He wi… https://t.co/o7mxU4gJag
We discussed ongoing cooperation on COVID-19 pandemic and reiterated commitment to ambitious climate action to meet… https://t.co/tPBaz3aQ6Y
"We welcomed launch of an Enhanced Trade Partnership as a roadmap to a comprehensive FTA, with a target to more than… https://t.co/tgqTD97EIX"
Had a productive Virtual Summit with my friend UK PM @BorisJohnson. We adopted an ambitious Roadmap 2030 for elevat… https://t.co/udC1wTiztD
Jagmohan Ji’s demise is a monumental loss for our nation. He was an exemplary administrator and a renowned scholar.… https://t.co/KtXMam2dzL
Took stock of the various COVID related initiatives of the Indian Navy. https://t.co/hInzhzc7Kf
A series of decisions that will increase the availability of medical personnel to strengthen the fight against COVI… https://t.co/7E29bunieS
Spoke to President of the EU Commission @vonderleyen and thanked EU for support and assistance to India’s COVID res… https://t.co/uCYtBOhyVr
I thank the people of Puducherry for blessing NDA. We are humbled to serve the people and fulfil their dreams. Our… https://t.co/LcVxPd5lqr
অসমৰ ৰাইজে আকৌ এবাৰ এন ডি এৰ উন্নয়নৰ  এজেণ্ডা আৰু ৰাজ্যত আমাৰ চৰকাৰৰ  জনকল্যাণমূলক কামৰ ট্ৰেক ৰেকৰ্ডক আশীৰ্বাদ দি… https://t.co/IL7XmNkhRh
